"site","width50","canopy50","crown05","crown25","crown50","crown75","crown95","crownmax","strat00","strat02","strat05","strat15","strat30","strat45","strat60","strattree","c10m","c20m","c50m","c100m","ht05","ht25","ht50","ht75","ht95","htmax","tree05","tree15","tree30","tree45","tree60"
"ruderal woodlot",12.36,12.49,11.05,14.47,17.14,19.53,25.13,29.34,14.39,17.45,52.2,15.96,0,0,0,68.163,16.58,18.86,22.33,25.44,5.86,8.65,11.76,14.7,19.24,29.34,19.94,48.22,0,0,0
"russ beech-maple-tulip",22.96,30.26,30.8,32.94,34.16,35.49,39.22,44.89,3.38,1.87,5.94,43.7,45.11,0,0,94.748,32.91,34.69,36.9,38.79,12.99,26.52,29.65,31.83,34.5,44.89,0.45,2.73,91.57,0,0
"selva lowland",25.56,28.39,24.82,31.6,36.09,40.6,48.62,61.67,1.62,1.92,10.38,51.7,32.44,1.93,0,96.459,33.83,37.7,43.18,47.64,10.77,20.77,26.84,32.47,40.97,61.67,0.76,16.46,69.33,9.78,0.12
"selva upland",22.9,24.48,22.61,27.39,31.36,35.52,41.83,53.97,0.44,0.65,9.93,70.84,17.95,0.19,0,98.908,30.1,33.23,37.93,41.86,12.18,18.97,23.53,28.25,35.2,53.97,0.33,40.06,56.87,1.65,0
"sitka spruce rainforest",21.94,40.67,33.97,46.92,60.01,73.58,82.52,90.16,12.57,4.82,9.96,22.78,26.61,13.75,9.51,82.61,52.92,63.39,74.89,80.03,8.93,23.37,34.24,47.33,68.24,90.16,0.45,1.56,15.09,24.11,41.4
"sleepy mature",18.19,24.13,24.45,26.6,27.26,28.12,29.35,29.77,1.23,1.44,6.88,90.45,0,0,0,97.331,26.7,27.62,28.64,29.22,12.73,21.58,23.85,25.8,27.68,29.77,0,97.33,0,0,0
"sleepy young",15.18,18.75,20.79,21.94,22.9,24.26,25.93,27.43,5.53,5.21,25.04,64.22,0,0,0,89.264,22.52,23.61,25.05,27.45,7.47,14.29,18.1,20.69,23.17,27.43,0.04,89.22,0,0,0
"successional cove hardwoods",21.08,31.69,30.87,34.98,37.47,39.52,43.38,51.83,0.39,0.39,1.99,38.96,57.82,0.45,0,99.213,36.06,37.87,40.2,42.33,19.74,27.2,31.23,34.19,38.37,51.83,0.04,3.11,93.05,3.01,0
"warren beech-maple",22.9,29.19,28.88,32.02,33.53,35.29,38.08,43.13,1.83,1.22,5.81,53.63,37.51,0,0,96.952,32.27,34.13,36.31,38.13,13.79,23.99,28.46,31.51,34.53,43.13,0.02,7.36,89.57,0,0
"xeric chaparral",7.23,5.75,5.54,6.21,6.79,8.17,9.51,11.86,43.16,49.88,6.96,0,0,0,0,6.962,6.28,6.64,8.11,10.4,5.09,5.34,5.68,6.31,7.79,11.86,6.96,0,0,0,0
"yellow pine",11.45,9.98,9.19,11.71,13.37,14.98,17.38,29.39,0.66,11.88,84.32,3.14,0,0,0,87.458,13.43,14.99,17.84,21.43,5.81,7.59,9.65,11.69,14.39,29.39,65.73,21.72,0,0,0
"yunque 2015 high",11.89,8.34,7.09,9.11,11.2,13.56,17.7,24.92,2.03,13.31,81.37,3.29,0,0,0,84.661,11.29,12.7,15.24,17.65,5.47,6.72,8.33,10.65,14.31,24.92,72.03,12.63,0,0,0
"yunque 2015 low",20.25,20.78,19.42,22.94,25.4,28.12,32.72,42.61,0.16,0.09,9.66,88.44,1.65,0,0,99.752,24.77,26.92,30.36,33.27,13.14,17.51,20.57,23.12,27.53,42.61,0.28,85.77,13.7,0,0
"yunque 2018 high",10.22,7.37,6.86,8.57,10.22,12.33,15.51,23.44,5.87,26.94,66.66,0.53,0,0,0,67.195,10.21,11.68,14.2,16.33,5.35,6.22,7.33,8.88,12.02,23.44,62.75,4.45,0,0,0
"yunque 2018 low",16.2,17.18,14.56,20.24,23.24,26.08,31.08,41.28,1.29,8.25,41.19,48.67,0.6,0,0,90.466,22.53,25.21,28.79,31.71,6.83,11.58,15.83,20.1,25.38,41.28,5.31,78.98,6.17,0,0
