"site","width50","canopy50","crown05","crown25","crown50","crown75","crown95","crownmax","strat00","strat02","strat05","strat15","strat30","strat45","strat60","strattree","c10m","c20m","c50m","c100m","ht05","ht25","ht50","ht75","ht95","htmax","tree05","tree15","tree30","tree45","tree60","base","mod1","mod2","veg"
"congaree swamp",21.79,29.8,29.21,31.78,33.57,35.39,38.83,41.49,0.14,0.13,2.26,50.52,46.94,0,0,99.726,32.79,33.97,35.55,36.93,19.13,26.72,29.57,32.21,36.02,41.49,0,9.03,90.69,0,0,"forest","high","","high forest"
"cove hardwoods",22.05,29.97,27.97,33.86,37.59,41.94,47.98,55.52,1.97,2.99,11.46,43.63,38.76,1.19,0,95.038,35.46,38.83,43.05,45.92,9.55,21.82,28.24,33.52,40.77,55.52,0.81,7.8,74.06,12.37,0,"forest","tall","","tall forest"
"dry-mesic forest",21.38,26.38,26.09,28.81,30.99,32.91,35.27,42.05,2.56,1.42,6.94,74.29,14.8,0,0,96.025,29.75,31.5,34.06,36.07,12.92,22.17,25.95,28.53,31.92,42.05,0.03,36.57,59.43,0,0,"forest","high","","high forest"
"eaton successional beech-maple",17.44,22.29,19.49,24.09,26.73,28.91,30.99,36.25,6.19,2.82,12.23,78.01,0.75,0,0,90.986,25.54,27.06,29.37,31.3,10.65,17.64,21.52,24.37,27.67,36.25,0.59,81.42,8.98,0,0,"forest","medium","","medium forest"
"florida bottomland",23.56,30.8,30.77,33.49,35.35,37.27,39.48,44.92,0.88,0.77,4.73,40.23,53.38,0,0,98.345,33.83,35.63,37.85,39.4,15.34,27.01,30.47,32.8,36.17,44.92,0.2,3.06,95.09,0,0,"forest","high","","high forest"
"florida ravine",21.14,26.81,24.04,29.58,33.59,37.08,40.74,46.72,0.4,0.68,10.04,61.43,27.46,0.01,0,98.927,31.64,34.13,37.21,39.28,11.57,20.67,25.79,30.62,35.9,46.72,0.29,26.7,71.62,0.32,0,"forest","high","","high forest"
"hartwick northern hardwoods",19.41,26.4,26.56,28.86,30.09,31,37.53,41.73,0.23,0.1,0.87,92.82,5.97,0,0,99.67,29.7,31.26,33.24,35.46,20.52,24.19,26.26,27.75,30.34,41.73,0,48.48,51.19,0,0,"forest","high","","high forest"
"hartwick white pine-red pine",21.26,31.41,32.85,40.69,43.81,45.89,47.96,50.19,0.92,0.4,2.2,44.11,50.88,1.48,0,98.68,40.38,43.59,46.09,47.5,18.91,26.19,30.62,36.25,42.57,50.19,0,0.9,62.13,35.65,0,"forest","tall","","tall forest"
"heath bald",7.4,5.8,5.7,6.45,7.35,8.62,11.44,12.89,27.71,58.94,13.36,0,0,0,0,13.36,7.42,8.35,12.34,19.49,5.09,5.33,5.71,6.5,8.54,12.89,13.36,0,0,0,0,"woodland","low","open shrubby","open shrubby low woodland"
"id douglas",14.58,22.57,24.21,28.96,35.15,41.23,47.1,53.3,6.79,6.94,25.7,47.43,12.9,0.26,0,86.275,33.95,39.4,45.1,48.84,7.43,13.73,19.1,25.65,37,53.3,0.2,24.9,51.47,9.71,0,"forest","tall","","tall forest"
"id redcedar",13.26,22.66,23.17,29.11,34.47,40.29,47.9,53.27,9.87,16.58,25.77,38.51,8.92,0.34,0,73.549,32.97,39.19,45.65,49.06,6.52,12.42,18.38,24.83,35.9,53.27,0.73,20.69,44.28,7.84,0,"forest","tall","","tall forest"
"id subalpine",11.62,18.86,21.39,24.39,26.28,28.41,33.54,47.33,25.96,8.27,24.24,40.69,0.84,0,0,65.77,25.81,28.5,31.5,34.16,6.78,12.52,17.28,21.32,26.37,47.33,0.28,55.72,9.75,0.02,0,"forest","medium","","medium forest"
"joshua tree desert",5.05,6.17,5.56,6.51,7.59,9.03,11.98,17.02,79.79,17.96,2.25,0,0,0,0,2.248,7.32,7.51,7.96,8.75,5.09,5.46,6.01,6.93,9.16,17.02,2.23,0.02,0,0,0,"shrubland","","open","open shrubland"
"krumholtz",3.57,5.71,5.28,5.96,6.62,7.07,7.47,7.55,88.16,11.37,0.47,0,0,0,0,0.469,6.37,6.48,6.8,7.3,5.08,5.32,5.64,6.22,6.94,7.55,0.47,0,0,0,0,"shrubland","","open","open shrubland"
"longleaf pine",14.58,23.59,20.18,25.53,27.77,30.15,32.46,36.28,39.62,4.49,11.1,42.44,2.35,0,0,55.888,25.73,27.94,30.26,31.85,7.5,16.93,22.49,26.17,29.71,36.28,1.35,39.56,14.98,0,0,"woodland","medium","open","open medium woodland"
"mesic chaparral",8.74,6.14,5.67,6.5,7.81,10.5,17.49,20.2,41.21,50.04,8.52,0.23,0,0,0,8.752,7.82,8,9.35,12.69,5.12,5.49,6.12,7.73,13.17,20.2,7.69,1.07,0,0,0,"shrubland","","open","open shrubland"
"mesic forest ravines",22,26.98,25.16,29.37,32.37,34.89,38.52,43.99,3.81,1.48,6.04,68.09,20.57,0,0,94.707,30.53,32.51,35.39,37.45,13.43,22.58,26.39,29.36,33.66,43.99,0.22,28.02,66.47,0,0,"forest","high","","high forest"
"mio aspen 19 y",9.24,7.54,7.44,8.29,9.46,11.23,13.01,14.04,5.48,12.77,81.75,0,0,0,0,81.748,9.79,10.54,11.82,13.3,5.58,6.55,7.56,8.99,11.29,14.04,81.75,0,0,0,0,"forest","low","","low forest"
"mio jack pine 19 y",7.74,6.62,6.52,7.6,8.19,8.78,9.77,14.54,43.86,50.75,5.39,0,0,0,0,5.39,7.84,8.08,8.36,8.92,5.24,5.87,6.54,7.36,8.5,14.54,5.39,0,0,0,0,"shrubland","","open","open shrubland"
"mio jack pine 39 y",8.74,7.11,7.57,8.16,8.58,9.01,9.68,19.41,7.77,7.17,84.91,0.15,0,0,0,85.06,8.84,9.45,10.42,11.45,5.63,6.48,7.11,7.71,8.58,19.41,84.6,0.46,0,0,0,"forest","low","","low forest"
"mn bog forest",7.05,7.35,7.94,9.23,10.22,11.22,12.67,14.78,29.63,24.17,46.19,0,0,0,0,46.193,10.32,11.33,12.54,14.07,5.34,6.28,7.25,8.39,10.32,14.78,46.19,0,0,0,0,"woodland","low","open shrubby","open shrubby low woodland"
"mn boreal",10.03,11.31,9.06,12.5,15.46,17.84,20.55,22.25,17.61,14.94,58.51,8.94,0,0,0,67.449,14.96,16.58,18.62,20.5,5.73,7.66,10.19,13.11,17.24,22.25,30.41,37.04,0,0,0,"forest","medium","","medium forest"
"mn hemiboreal",14.97,18.76,17.85,20.39,22.16,24.17,26.27,28.48,5.72,4.09,20.82,69.36,0,0,0,90.189,21.62,22.66,24.04,25.13,8.33,15.43,18.34,20.95,23.82,28.48,0.74,89.45,0,0,0,"forest","medium","","medium forest"
"northern hardwoods cove",20.78,27.43,26.81,29.01,30.39,31.72,33.67,37.32,0.3,0.07,0.25,84.82,14.56,0,0,99.624,29.67,30.73,32.28,33.46,22.31,25.81,27.26,28.87,31.07,37.32,0,41.6,58.03,0,0,"forest","high","","high forest"
"northern hardwoods sunslope",18.16,18.31,15.38,19.31,21.31,22.62,24.41,28.63,0.38,0.08,15.16,84.38,0,0,0,99.537,20.49,22.03,25.45,28.86,11.57,16.18,18.2,20.39,22.19,28.63,4.49,95.05,0,0,0,"forest","medium","","medium forest"
"northern mesic forest",18.68,19.92,13.09,21.13,23.62,25.78,28.67,34.63,3.43,1.6,19.89,74.93,0.16,0,0,94.971,22.02,23.47,25.95,28.17,8.51,15.91,19.36,22.03,25.57,34.63,8.14,85.34,1.49,0,0,"forest","medium","","medium forest"
"oak-chestnut",18.61,21.38,13.93,21.2,26.37,30.75,36.28,46.91,0.28,1.7,24.42,65.92,7.67,0,0,98.018,25.01,27.02,31.06,36.37,8.21,15.03,20.66,25.48,31.32,46.91,6.89,62.96,28.05,0.12,0,"forest","medium","","medium forest"
"oak-pine barrens",14.09,13.67,10.91,14.27,17.65,20,22.84,27.5,31.03,6.69,41.55,20.73,0,0,0,62.281,16.11,17.54,19.82,21.61,6.47,9.83,12.81,16.16,19.63,27.5,18.69,43.59,0,0,0,"woodland","medium","open","open medium woodland"
"prdry lowland",10.65,6.75,6.31,7.55,8.79,10.2,12.2,14.63,5.23,36.34,58.43,0,0,0,0,58.427,8.68,9.82,11.49,12.71,5.2,5.75,6.59,7.87,10.15,14.63,58.43,0,0,0,0,"woodland","low","shrubby","shrubby low woodland"
"prdry upland",7.98,5.84,5.66,6.34,7.04,8.14,10.67,12.76,7.92,63.09,28.99,0,0,0,0,28.994,6.99,7.56,8.96,10.78,5.11,5.38,5.78,6.46,8.19,12.76,28.99,0,0,0,0,"woodland","low","shrubby","shrubby low woodland"
"prrainforest",23.04,23.93,21.68,26.38,29.72,33.43,38.42,49.55,0.01,0.02,3.78,83.85,12.33,0.01,0,99.968,28.52,30.99,34.86,37.93,15.68,20.55,23.67,27.26,32.67,49.55,0.03,52.18,47.51,0.24,0,"forest","medium","","medium forest"
"ramsey cove hardwood",20.9,27.99,27.04,32.41,36.03,39.58,45.63,54.13,2.45,4.05,12.44,51.69,29.03,0.35,0,93.505,33.91,37.33,41.5,44.31,9.16,20.45,26.51,31.37,37.88,54.13,0.36,12.21,75.21,5.73,0,"forest","high","","high forest"
"ramsey heath bald",7.31,6.69,5.89,7.81,10.17,16.5,20.28,20.28,5.06,86.61,7.6,0.74,0,0,0,8.335,10.8,13.72,25.57,36.43,5.13,5.74,7.08,10.67,17.17,20.28,5.86,2.47,0,0,0,"shrubland","","dense","dense shrubland"
"ramsey northern hardwoods",18.68,23.16,20.7,26.9,30.22,33.41,38.12,46.36,1.76,5.09,18.34,66.42,8.39,0,0,93.149,28.44,31.5,35.48,38.24,8,16.59,21.88,26.13,31.79,46.36,1.46,43.77,47.86,0.05,0,"forest","high","","high forest"
"ramsey oak-chestnut",16.2,18.61,12.49,18.03,22.87,26.21,30.74,38.45,0.19,1,31.47,66.3,1.04,0,0,98.81,21.78,23.29,25.94,29.14,8.11,13.34,17.98,22,26.82,38.45,13.12,78.86,6.83,0,0,"forest","medium","","medium forest"
"ramsey yellow pine",11.23,8.94,8.64,10.78,12.16,13.72,17.29,20.26,0.54,7.77,89.53,2.17,0,0,0,91.691,12.73,14.38,17.57,20.98,5.72,7.16,8.78,10.75,13.53,20.26,77.18,14.51,0,0,0,"forest","low","","low forest"
"redwoods",24.23,41.55,38.99,48.53,53.39,59.28,67.49,78.15,1.36,1.36,4.65,18.03,43.92,28.16,2.52,97.28,49.56,54.47,60.54,65.05,15.38,30.94,39.47,46.99,56.81,78.15,0.13,1.31,12.57,61.3,21.97,"forest","giant","","giant forest"
"redwoods h2",29.66,80.96,88.83,94.85,98.46,102.15,107.73,112.66,0.82,0.57,1.58,3.49,4.47,8.64,80.44,98.614,90.66,96.87,102.53,105.73,29.44,65.92,78.85,88,97.1,112.66,0,0,0,0.07,98.54,"forest","giant","","giant forest"
"redwoods humbolt",26.99,70.11,65.98,82.53,88.04,93.57,98.95,105.22,0.78,0.54,3.37,10.61,11.59,17.58,55.53,98.684,78.37,85.66,92.41,95.85,17.74,43.76,63.78,75.76,87.11,105.22,0,0.14,1.52,1.28,95.74,"forest","giant","","giant forest"
"rocky mt spruce ne",10.7,13.3,13.49,16.55,18.4,20.77,26.27,36.36,19.92,8.32,52.54,19.12,0.1,0,0,71.752,18.77,20.84,23.62,26.24,6.41,9.86,12.56,15.28,19.42,36.36,8.65,62.06,1.04,0,0,"forest","medium","","medium forest"
"rocky mt spruce sw",9.44,11.2,10.4,13.29,15.16,17.32,21.44,29.4,26.65,12.18,55.88,5.28,0,0,0,61.162,16.19,18.78,22.02,24.36,5.77,7.86,10.52,12.55,16.31,29.4,28.88,32.29,0,0,0,"woodland","medium","open shrubby","open shrubby medium woodland"
"ruderal woodlot",12.36,12.49,11.05,14.47,17.14,19.53,25.13,29.34,14.39,17.45,52.2,15.96,0,0,0,68.163,16.61,18.77,22.05,25.37,5.86,8.65,11.76,14.7,19.24,29.34,19.94,48.22,0,0,0,"forest","medium","","medium forest"
"russ beech-maple-tulip",22.96,30.26,30.8,32.94,34.16,35.49,39.22,44.89,3.38,1.87,5.94,43.7,45.11,0,0,94.748,32.92,34.69,36.96,38.87,12.99,26.52,29.65,31.83,34.5,44.89,0.45,2.73,91.57,0,0,"forest","high","","high forest"
"selva lowland",25.56,28.39,24.82,31.6,36.09,40.6,48.62,61.67,1.62,1.92,10.38,51.7,32.44,1.93,0,96.459,33.86,37.72,43.39,47.75,10.77,20.77,26.84,32.47,40.97,61.67,0.76,16.46,69.33,9.78,0.12,"forest","tall","","tall forest"
"selva upland",22.9,24.48,22.61,27.39,31.36,35.52,41.83,53.97,0.44,0.65,9.93,70.84,17.95,0.19,0,98.908,30.09,33.19,37.9,41.81,12.18,18.97,23.53,28.25,35.2,53.97,0.33,40.06,56.87,1.65,0,"forest","high","","high forest"
"sitka spruce rainforest",21.94,40.67,33.97,46.92,60.01,73.58,82.52,90.16,12.57,4.82,9.96,22.78,26.61,13.75,9.51,82.61,53.05,63.22,74.81,80.18,8.93,23.37,34.24,47.33,68.24,90.16,0.45,1.56,15.09,24.11,41.4,"forest","giant","","giant forest"
"successional cove hardwoods",21.08,31.69,30.87,34.98,37.47,39.52,43.38,51.83,0.39,0.39,1.99,38.96,57.82,0.45,0,99.213,36.07,37.86,40.21,42.31,19.74,27.2,31.23,34.19,38.37,51.83,0.04,3.11,93.05,3.01,0,"forest","high","","high forest"
"warren beech-maple",22.9,29.19,28.88,32.02,33.53,35.29,38.08,43.13,1.83,1.22,5.81,53.63,37.51,0,0,96.952,32.31,34.13,36.27,38.2,13.79,23.99,28.46,31.51,34.53,43.13,0.02,7.36,89.57,0,0,"forest","high","","high forest"
"xeric chaparral",7.23,5.75,5.54,6.21,6.79,8.17,9.51,11.86,43.16,49.88,6.96,0,0,0,0,6.962,6.62,6.93,8.06,10.22,5.09,5.34,5.68,6.31,7.79,11.86,6.96,0,0,0,0,"shrubland","","open","open shrubland"
"yellow pine",11.45,9.98,9.19,11.71,13.37,14.98,17.38,29.39,0.66,11.88,84.32,3.14,0,0,0,87.458,13.44,15.01,17.85,21.63,5.81,7.59,9.65,11.69,14.39,29.39,65.73,21.72,0,0,0,"forest","low","","low forest"
"yunque 2015 high",11.89,8.34,7.09,9.11,11.2,13.56,17.7,24.92,2.03,13.31,81.37,3.29,0,0,0,84.661,11.4,12.76,15.27,17.59,5.47,6.72,8.33,10.65,14.31,24.92,72.03,12.63,0,0,0,"forest","low","","low forest"
"yunque 2015 low",20.25,20.78,19.42,22.94,25.4,28.12,32.72,42.61,0.16,0.09,9.66,88.44,1.65,0,0,99.752,24.77,26.96,30.38,33.23,13.14,17.51,20.57,23.12,27.53,42.61,0.28,85.77,13.7,0,0,"forest","medium","","medium forest"
"yunque 2018 high",10.22,7.37,6.86,8.57,10.22,12.33,15.51,23.44,5.87,26.94,66.66,0.53,0,0,0,67.195,10.35,11.73,14.21,16.27,5.35,6.22,7.33,8.88,12.02,23.44,62.75,4.45,0,0,0,"forest","low","","low forest"
"yunque 2018 low",16.2,17.18,14.56,20.24,23.24,26.08,31.08,41.28,1.29,8.25,41.19,48.67,0.6,0,0,90.466,22.53,25.29,28.87,31.57,6.83,11.58,15.83,20.1,25.38,41.28,5.31,78.98,6.17,0,0,"forest","medium","","medium forest"
